Title,Categories,Description
Sync,Science,"'SYNC' IS A STORY OF A DAZZLING KIND OF ORDER IN THE UNIVERSE, THE HARMONY THAT COMES FROM CYCLES IN SYNC. THE TENDENCY TO SYCHRONIZE IS ONE OF THE MOST FAR- REACHING DRIVES IN ALL OF NATURE. IT EXTENDS FROM PEOPLE TO PLANETS, FROM ANIMALS TO ATOMS. IN 'SYNC' PROFESSOR STEVEN STROGATZ CONSIDERS A RANGE OF APPLICATIONS - HUMAN SLEEP AND CIRCADIAN RHYTHMS, MENSTRUAL SYNCHRONY, INSECT OUTBREAKS, SUPERCONDUCTORS, LASERS, SECRET CODES, HEART ARRHYTHMIAS AND FADS - CONNECTING ALL TRHOUGH AN EXPLORATION OF THE SAME MATHEMATICAL THEME: SELF- ORGANISATION, OR THE SPONTANEOUS EMERGENCE OF ORDER OUT OF CHAOS. FOCUSED ENOUGH TO PRESENT A COHERENT WORLD UNTO THEMSELVES, STROGATZ'S CHOSEN TOPICS TOUCH ON SEVERAL OF THE HOTTEST DIRECTIONS IN CONTEMPORARY SCIENCE."
"Harmony, Melody and Composition",Composition (Music),"A basic two year course book of 176 pages, it provides a comprehensive coverage of the work necessary to prepare for GCSE examinations. Essentially a practically based rather than an academic course, each chapter of Harmony, Melody and Composition reveals music from two sides at once: harmony and melody. All principles and examples are drawn directly from musical literature. At every stage the student is called upon to examine and think about the technical processes as they occur in a wide range of music. There are work pages related to each chapter and these contain assignments in analysis, writing, singing and playing. Harmony, Melody and Composition provides a systematic study beginning with basic principles."
Brandenburg Concerto No. 4 G major,,Sheet music
"The Nutcracker, Suite from the Ballet, Op. 71a",,
Symphony G minor K 183,,
1812 Overture for Orchestra Op. 49,,
Romeo and Juliet Fantasy Overture,,
Zoo Quest for a Dragon,"Australasian & Pacific History,Theology,Social & Cultural Anthropology","This is the full account of David Attenborough's recent Zoo Quest expedition to the islands of Indonesia. Our plan, he writes, was to travel widely throughout these islands, filming not only animals but also people and their everyday life. Our ultimate objective was to reach a small islet named Komodo, for we were going there to seek one of the most remarkable creatures alive today, the largest lizard in the world, the Komodo dragon. Zoo Quest for a Dragon describes an exciting 3,000-mile journey in Indonesia- to the enchanting island of Bali, where the author and his companion, Charles Lagus, were fascinated by the dancing, music and temples; to Java, where they climbed the sleep slopes of an active volcano and gazed down into the heaving cauldron; and to the interior of Borneo, where they stayed in the longhouses of the Dyak peoples, and observed and captured many animals including Benjamin, the baby bear, and Charlie, a mischievous orang-utan. Finally, in a hazardous voyage by prau under the captaincy of a gun-smuggler, they reached Komodo, and discovered and filmed a fabulous dragon. David Attenborough writes vividly about his travels, the people he met, and the animals he saw and captured. But above all it is an entertaining story, for as in his first book, Zoo Quest to Guiana, the author reveals his irrepressible sense of the ridiculous, his rich vein of humour, and his gift as a brilliant raconteur."
Extinct Birds,Extinct birds,"""Since 1600 some 80 bird species have become extinct. The author of this text has drawn on a wide range of sources for his accounts of these birds, their habits and demise, with evidence of preserved specimens brought to life by the eye-witness accounts of early travellers and explorers. Their stories are sometimes tantalizingly slight: isolated sightings of a single bird may be the only evidence that a species ever existed. By contrast, the expeditions of 19th-century naturalists are often well documented and their descriptions accompanied by detailed drawings and paintings. In more recent cases our knowledge about an extinct species can be so extensive that even the precise time and place of death of its last surviving member is recorded. Virtually all of the species documented here are illustrated with colour plates from archival sources, including the work of such acknowledged masters as Audubon, Keulemans and Lear. These artists often had the advantage of working from fresh specimens or even from living birds, and besides its beauty their work is a primary source of scientific knowledge in its own right.""--BOOK JACKET."
A Field Guide to the Birds of Malaysia,"Science & Math,Nature & Ecology,Birdwatching","A Field Guide to the Birds of Malaysia is a fully comprehensive field guide to the 829 bird species of Malaysia, including Sabah and Sarawak. The species are clearly illustrated in over 170 plates, with many variants. The main identifying features of each species are described and key facts cover size, voice, range and status, habitat, specific country and breeding. The book also includes information on taxonomy and nomenclature, observing birds, climate, habitats, the breeding cycle, migration and conservation as well as a section on key birdwatching sites with maps."
A Field Guide To Australian Birds,Science: General Issues,"V. 1. Non-passerines.--[v. 2.] Passerines. [by] Peter Slater, In Co- Operation With J. Calaby [and Others]. Bibliography: V. 1, P. 415-416; V. 2, P. 297-298."
Moths of the British Isles,,
"Whales, Dolphins and Seals: A Field Guide to the Marine Mammals of the World",Wildlife: Aquatic Creatures,"Guide to marine mammals of the world covers field identification, including geographical, sex and age variations of all the whales, dophins, seals and sea cows, plus walrus, polar bear and marine otters."
Wild flowers of Northern Oman,,
Mussolini,Fiction,"Britannia rules the waves TA-RA, but on occasions she waives the rules and Spike is all set to liberate -gasp- Italy. In this fourth volume of war memoirs, Lance-Bombardier Milligan (Spike actually) continues his notorious sage of World War II - from the long remembered outbreak of crabs in monkey to the unfortunate ack-acking of and American killyhawk. Dio mio, is war is a game of cards, someone was cheating."
The World's Great Railway Journeys,Baked products,
The wildlife of Oman and it's neighbours,,The greatly varied and often unique wildlife of the Arabian peninsula is a natural heritage of immense importance. The extraordinary range of species to be found there stems from Arabia's remarkable climatic and geological evolution at the point where three major zoological worlds meet. This full color photographic book has been assembled by the outstanding zoologists specializing in the area.
At Home: A Short History of Private Life,Social & Cultural History,"“Houses aren’t refuges from history. They are where history ends up.”

Bill Bryson and his family live in a Victorian parsonage in a part of England where nothing of any great significance has happened since the Romans decamped. Yet one day, he began to consider how very little he knew about the ordinary things of life as he found it in that comfortable home. To remedy this, he formed the idea of journeying about his house from room to room to “write a history of the world without leaving home.” The bathroom provides the occasion for a history of hygiene; the bedroom, sex, death, and sleep; the kitchen, nutrition and the spice trade; and so on, as Bryson shows how each has figured in the evolution of private life. Whatever happens in the world, he demonstrates, ends up in our house, in the paint and the pipes and the pillows and every item of furniture."
Notes From A Small Island,Travel Writing,"After nearly two decades in Britain, Bill Bryson made the decision to move back to the States for a while, to let his kids experience life in another country, to give his wife the chance to shop until 10 p.m. seven nights a week, and, most of all, because he had read that 3.7 million Americans believed that they had been abducted by aliens at one time or another, and it was thus clear to him that his people needed him.

But before leaving his much-loved home in North Yorkshire, Bryson insisted on taking one last trip around Britain, a sort of valedictory tour of the green and kindly island that had for so long been his home. His aim was to take stock of the nation’s public face and private parts (as it were), and to analyze what precisely it was he loved about a country that had produced Marmite, a military hero whose dying wish was to be kissed by a fellow named Hardy, place names like Farleigh Wallop, Titsey, and Shellow Bowells, people who said “Mustn’t grumble,” and shows like “Gardener’s Question Time.”"
Mother Tongue,Fiction,"How did English, 'treated for centuries as the inadequate and second-rate tongue of peasants' become the undisputed global language? How did words like shampoo, sofa and rowdy (and others drawn from over fifty languages) find their way into our dictionary? In this revealing and often hilarious book, Bill Bryson examines the mother tongue and explores the countless varieties of English and the perils of marketing brands with names like Pschitt and Super Piss. With entertaining sections on the oddities of swearing and spelling, spoonerisms and Scrabble, and a consideration of what we mean by 'good English', Mother Tongue is one of the most stimulating books yet written on this endlessly engrossing subject."
Shakespeare,"Biography: Literary,Shakespeare Studies & Criticism","Bill Bryson's biography of William Shakespeare unravels the superstitions, academic discoveries and myths surrounding the life of our greatest poet and playwright."
Bill Bryson's African Diary,"Memoirs,African History,Guidebooks","Bill Bryson goes to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. 

Kenya, generally regarded as the cradle of mankind, is a land of contrasts, with famous game reserves, stunning landscapes, and a vibrant cultural tradition. It also provides plenty to worry a traveller like Bill Bryson, fixated as he is on the dangers posed by snakes, insects and large predators. But on a more sober note, it is a country that shares many serious human and environmental problems with the rest of Africa: refugees, AIDS, drought and grinding poverty. 

Travelling around the country, Bryson casts his inimitable eye on a continent new to him, and the resultant diary, though short in length, contains the trademark Bryson stamp of wry observation and curious insight. 

All the author's royalties from Bill Bryson's African Diary, as well as all profits, will go to CARE International."
Dear Bill Bryson: Footnotes from a Small Island,,"An irreverent homage to the '95 travel classic Notes from a Small Island, wherein Ben Aitken retraces Bill Bryson’s journey as precisely as possible – same hotels, same plates of food, same amount of time in the bath – before finishing outside his house on Christmas Eve."
One Summer: America 1927,History Of The Americas,"Britain's favourite writer of narrative non-fiction Bill Bryson travels back in time to a forgotten summer when America came of age, took centre stage, and, in five eventful months, changed the world for ever.

In the summer of 1927, America had a booming stock market, a president who worked just four hours a day (and slept much of the rest of the time), a semi-crazed sculptor with a mad plan to carve four giant heads into an inaccessible mountain called Rushmore, a devastating flood of the Mississippi, a sensational murder trial, and a youthful aviator named Charles Lindbergh who started the summer wholly unknown and finished it as the most famous man on earth. (So famous that Minnesota considered renaming itself after him.)

It was the summer that saw the birth of talking pictures, the invention of television, the peak of Al Capone's reign of terror, the horrifying bombing of a school in Michigan by a madman, the ill-conceived decision that led to the Great Depression, the thrillingly improbable return to greatness of a wheezing, over-the-hill baseball player named Babe Ruth, and an almost impossible amount more.

In this hugely entertaining book, Bill Bryson spins a story of brawling adventure, reckless optimism and delirious energy, with a cast of unforgettable and eccentric characters, with trademark brio, wit and authority."
A Short History of Nearly Everything,"Popular Science,Atomic & Molecular Physics,Chemistry","Bill Bryson describes himself as a reluctant traveller: but even when he stays safely in his own study at home, he can't contain his curiosity about the world around him. A Short History of Nearly Everything is his quest to understand everything that has happened from the Big Bang to the rise of civilization - how we got from there, being nothing at all, to here, being us.





Bill Bryson's challenge is to take subjects that normally bore the pants off most of us, like geology, chemistry and particle physics, and see if there isn't some way to render them comprehensible to people who have never thought they could be interested in science. It's not so much about what we know, as about how we know what we know. How do we know what is in the centre of the Earth, or what a black hole is, or where the continents were 600 million years ago? How did anyone ever figure these things out?





On his travels through time and space, he encounters a splendid collection of astonishingly eccentric, competitive, obsessive and foolish scientists, like the painfully shy Henry Cavendish who worked out many conundrums like how much the Earth weighed, but never bothered to tell anybody about many of his findings. In the company of such extraordinary people, Bill Bryson takes us with him on the ultimate eye-opening journey, and reveals the world in a way most of us have nevr seen it before."
The Life and Times of the Thunderbolt Kid,Autobiography: General,"Some say that the first hint that Bill Bryson was not of Planet Earth came when his mother sent him to school in lime-green Capri pants. Others think it all started with his discovery, at the age of six, of a woollen jersey of rare fineness. Across the moth-holed chest was a golden thunderbolt. It may have looked like an old college football sweater, but young Bryson knew better. It was obviously the Sacred Jersey of Zap, and proved that he had been placed with this innocuous family in the middle of America to fly, become invisible, shoot guns out of people's hands from a distance, and wear his underpants over his jeans in the manner of Superman. Bill Bryson's first travel book opened with the immortal line, 'I come from Des Moines. Somebody had to.' In his deeply funny new memoir, he travels back in time to explore the ordinary kid he once was, and the curious world of 1950s America. It was a happy time, when almost everything was good for you, including DDT, cigarettes and nuclear fallout."
Down Under,Travel Writing,"As his many British fans already know, bearded Yankee butterball Bill Bryson specialises in going to countries we think we know well, only to return with travelogues that are surprisingly cynical and yet shockingly affectionate. It's a unique style, possibly best suited to the world's weirder destinations. It's helpful here: Bryson's latest subject is that oddest of continents, Australia. For a start, there's the oddly nasty fauna and flora. Barely a page of Down Under is without its lovingly detailed list of lethal antipodean critters: sociopathic jellyfish, homicidal crocs, toilet-dwelling death-spiders, murderous shrubs (yes, shrubs). Bryson's absorbing and informative portrait is of a terrain so intractably vast, a land so climatically extreme, it seems expressly designed to daunt and torment humankind. 

 This very user-unfriendliness throws up another Aussie paradox. If the country is so hostile how come the natives are so laid back, so relaxed? As Bryson shuffles from state to state, he seeks the key to the uniquely cool Australian character and finds it in Australia's tragicomic past, her genetic seeding of convicts, explorers, gold diggers, outlaws. This is a country of lads and mates, of boozy gamblers--nowadays mellowed by sunshine and sporting success.

 Down Under is a fine book. So it may not be quite as deliciously malicious as Bryson's The Lost Continent, nor as laugh-out-loud funny as Neither Here Nor There. But so what? A Bill Bryson on cruise control is ..."
The Road to Little Dribbling,England,"Twenty years ago, Bill Bryson went on a trip around Britain to celebrate the green and kindly island that had become his adopted country. The hilarious book that resulted, Notes from a Small Island, was taken to the nationâe(tm)s heart and became the bestselling travel book ever, and was also voted in a BBC poll the book that best represents Britain.Now, to mark the twentieth anniversary of that modern classic, Bryson makes a brand-new journey round Britain to see what has changed. Following (but not too closely) a route he dubs the Bryson Line, from Bognor Regis to Cape Wrath, by way of places that many people never get to at all, Bryson sets out to rediscover the wondrously beautiful, magnificently eccentric, endearingly unique country that he thought he knew but doesnâe(tm)t altogether recognize any more. Yet, despite Britainâe(tm)s occasional failings and more or less eternal bewilderments, Bill Bryson is still pleased to call our rainy island home. And not just because of the cream teas, a noble history, and an extra day off at Christmas. Once again, with his matchless homing instinct for the funniest and quirkiest, his unerring eye for the idiotic, the endearing, the ridiculous and the scandalous, Bryson gives us an acute and perceptive insight into all that is best and worst about Britain today."
Notes From A Big Country,Travel Writing,"In the world of contemporary travel writing, Bill Bryson, the bestselling author of A Walk in the Woods, often emerges as a major contender for King of Crankiness. Granted, he complains well and humorously, but between every line of his travel books you can almost hear the tinny echo: ""I wanna go home, I miss my wife.""  Happily, I'm a Stranger Here Myself unleashes a new Bryson, more contemplative and less likely to toss daggers. After two decades in England, he's relocated to Hanover, New Hampshire. In this collection (drawn from dispatches for London's Night & Day magazine), he's writing from home, in close proximity to wife and family. We find a happy marriage between humor and reflection as he assesses life both in New England and in the contemporary United States. With the telescopic perspective of one who's stepped out of the American mainstream and come back after 20 years, Bryson aptly holds the mirror up to U.S. culture, capturing its absurdities--such as hotlines for dental floss, the cult of the lawsuit, and strange American injuries such as those sustained from pillows and beds. ""In the time it takes you to read this,"" he writes, ""four of my fellow citizens will somehow manage to be wounded by their bedding."" 

 The book also reflects the sweet side of small-town USA, with columns about post-office parties, dining at diners, and Thanksgiving--when the only goal is to ""get your stomach into the approximate shape of a beach ball"" and be grateful. And grateful we ..."
A Walk in the Woods,Travel Writing,"The Appalachian Trail trail stretches from Georgia to Maine and covers some of the most breathtaking terrain in America—majestic mountains, silent forests, sparking lakes. If you’re going to take a hike, it’s probably the place to go. And Bill Bryson is surely the most entertaining guide you’ll find. He introduces us to the history and ecology of the trail and to some of the other hardy (or just foolhardy) folks he meets along the way—and a couple of bears. Already a classic, A Walk in the Woods will make you long for the great outdoors (or at least a comfortable chair to sit and read in)."
"Seeing Further: Ideas, Endeavours, Discoveries and Disputes — The Story of Science Through 350 Years of the Royal Society","History Of Science,Popular Science","Edited and introduced by Bill Bryson, and with contributions from Richard Dawkins, Margaret Atwood, David Attenborough, Martin Rees and Richard Fortey amongst others, this is a remarkable volume celebrating the 350th anniversary of the Royal Society.

On a damp weeknight in November, 350 years ago, a dozen or so men gathered at Gresham College in London. A twenty-eight year old — and not widely famous — Christopher Wren was giving a lecture on astronomy. As his audience listened to him speak, they decided that it would be a good idea to create a Society to promote the accumulation of useful knowledge.

With that, the Royal Society was born. Since its birth, the Royal Society has pioneered scientific exploration and discovery. Isaac Newton, Charles Darwin, Albert Einstein, Robert Hooke, Robert Boyle, Joseph Banks, Humphry Davy, Isambard Kingdom Brunel, John Locke, Alexander Fleming — all were fellows.

Bill Bryson’s favourite fellow was Reverend Thomas Bayes, a brilliant mathematician who devised Bayes’ theorem. Its complexity meant that it had little practical use in Bayes’ own lifetime, but today his theorem is used for weather forecasting, astrophysics and stock market analysis. A milestone in mathematical history, it only exists because the Royal Society decided to preserve it — just in case. 

The Royal Society continues to do today what it set out to do all those years ago. Its members have split the atom, discovered the double helix, the electron, the computer and th..."
Through Lands of the Bible,"Church History,Travel Writing","In the 1930s, H.V. Morton decided to make a Christian pilgrimage from the Euphrates to the Nile, and into Sinai, and to tell the story of the Christian life of the Near East. His account describes the journey from Babylon to Baghdad, from Coptic monasteries to the churches of Rome."
In Search of England,England,"A re-issue of one of the great travel books of all time: H. V. Morton's famous and much-loved travelogue about England. Written in the early days of the motor car, this is an enduringly charming and fascinating account of H.V. Morton's peregrinations around the hamlets, villages and towns of England in the 1920s. 'I have gone round England like a magpie' he writes, 'picking up the bright things that please me'. He does so throughout with affectionate wit, whether they be snapshots of ruined gothic arches at Glastonbury or the engaging chatter of Norfolk farmers bartering for cigars. Anecdotal, leisurely, full of character and event, insight and opinion, this is travel writing of the very highest order.

H. V. Morton made his name as one of the twentieth century's most wonderfully companionable travel writers with ""In Search of England,"" a book which has been through countless impressions and still stands as possibly the very best introduction to the country and its people.
As vivid, engaging, witty and informative as it was on its first publication over seventy years ago, Morton's ""In Search of England"" – like his books on Wales, Scotland and Ireland – remains both an essential introduction to the country, and a sheer delight for anyone interested in the very best that travel writing can offer."
In Search of London,"Guidebooks,Travel Writing,Classic Travel Writing","""Here H.V.Morton begins his wandering in the City, where Roman London began, and follows, westwards, the course of London's seventeenth and eighteenth-century expansion. He describes the London he has himself known, from the rich and arrogant city of his youth to the battered and shabby London of today. He gives vivid pictures of great Londoners of the past. He takes the reader with him about the famous streets and squares and buildings with an infallible eye for the odd, entertaining and interesting things to be found in the great city. In all, there are few aspects of London he does not touch upon. Here is a lasting memento for the overseas visitor, for Londoners in their thousands, and for all those readers for whom Mr. Morton has long been the perfect guide and the most entertaining companion."" Contents Include: I Go in Search of London In Which I Go to the Tower of London I Go to London Bridge in the Early Morning Describes St. Paul's Cathedral and the Great Man Sir Christopher Wren, Who Built it A Walk Along the Strand from Temple Bar to Charing Cross I Turn on the Fountains in Trafalgar Square In Which I Go to Westminster Abbey I Visit the Houses of Parliament and See the New House of Commons I Go to St. James's Palace and Remember the Day When it Was a Refuge for Female Lepers How Piccadilly Became the Heart of the West End I See Regent's Park Visit the Zoo and Madame Tussaud's A Few Words About the Treasure Houses of South Kensington"
Statistical Methods for the Social and Behavioural Sciences: A Model-Based Approach,"Research Methods: General,Sociology,Social Research & Statistics","Statistical methods in modern research increasingly entail developing, estimating and testing models for data. Rather than rigid methods of data analysis, the need today is for more flexible methods for modelling data.

In this logical, easy-to-follow and exceptionally clear book, David Flora provides a comprehensive survey of the major statistical procedures currently used. His innovative model-based approach teaches you how to:

Understand and choose the right statistical model to fit your data Match substantive theory and statistical models Apply statistical procedures hands-on, with example data analyses Develop and use graphs to understand data and fit models to data Work with statistical modeling principles using any software package Learn by applying, with input and output files for R, SAS, SPSS, and Mplus. Statistical Methods for the Social and Behavioural Sciences: A Model Based Approach is the essential guide for those looking to extend their understanding of the principles of statistics, and begin using the right statistical modeling method for their own data. It is particularly suited to second or advanced courses in statistical methods across the social and behavioural sciences."
Qualitative Methods in Psychology,"Research Design,Psychology, Experimental,Psychology--Research--Methodology","An introduction to qualitative methods, combining a solid grounding in theory with a guide to conducting investigations and critical assessment."
"Raising the ""Kursk""",Submarine disasters,
Engineering Mathematics,"Maths For Scientists,Maths For Engineers","Fully revised to meet the needs of the wide range of students beginning engineering courses, this edition has an extended Foundation section including new chapters on graphs, trigonometry, binomial series and functions and a CD-ROM"
Choosing Colours,Color in interior decoration,This is a sourcebook of over 750 specifically researched colour swatches arranged in over 60 palettes. The book also describes the history of colour pigments and their replication and covers colour theory and how to combine colours into a palette.
The Viking World,"European History,Early History: C 500 To C 1450/1500,Geographical Discovery & Exploration","The Vikings dominated Western Europe from the 9th to the 11th centuries. In this account of the Viking world, every aspect of Viking life is examined. Important chapters on ships, runes and religion have been contributed by specialist authors, and the text is complemented by illustrations, including maps and reconstruction drawings. Photographs, many of them especially commissioned, portray the brilliant products of the Vikings' culture and the beauty and harshness of the natural world they faced."
Netlab,Computers,"Getting the most out of neural networks and related data modelling techniques is the purpose of this book. The text, with the accompanying Netlab toolbox, provides all the necessary tools and knowledge. Throughout, the emphasis is on methods that are relevant to the practical application of neural networks to pattern analysis problems. All parts of the toolbox interact in a coherent way, and implementations and descriptions of standard statistical techniques are provided so that they can be used as benchmarks against which more sophisticated algorithms can be evaluated. Plenty of examples and demonstration programs illustrate the theory and help the reader understand the algorithms and how to apply them."
Clinical Neuropsychology: Behavioral and Brain Science,"Health, Fitness & Dieting,Mental Health,Psychology & Counseling",
"Understanding Social Networks: Theories, Concepts, and Findings",Business & Economics,"Despite the swift spread of social network concepts and their applications and the rising use of network analysis in social science, there is no book that provides a thorough general introduction for the serious reader. 

Understanding Social Networks fills that gap by explaining the big ideas that underlie the social network phenomenon. 
Written for those interested in this fast moving area but who are not mathematically inclined, it covers fundamental concepts, then discusses networks and their core themes in increasing order of complexity. 
Kadushin demystifies the concepts, theories, and findings developed by network experts. He selects material that serves as basic building blocks and examples of best practices that will allow the reader to understand and evaluate new developments as they emerge. 

Understanding Social Networks will be useful to social scientists who encounter social network research in their reading, students new to the network field, as well as managers, marketers, and others who constantly encounter social networks in their work."
The Everglades: River of Grass,"History Of The Americas,Conservation Of The Environment,Local History","Before 1947, when Marjory Stoneman Douglas named The Everglades a ""river of grass,"" most people considered the area worthless. She brought the world's attention to the need to preserve The Everglades. In the Afterword, Michael Grunwald tells us what has happened to them since then. Grunwald points out that in 1947 the government was in the midst of establishing the Everglades National Park and turning loose the Army Corps of Engineers to control floods--both of which seemed like saviors for the Glades. But neither turned out to be the answer. Working from the research he did for his book, The Swamp, Grunwald offers an account of what went wrong and the many attempts to fix it, beginning with Save Our Everglades, which Douglas declared was ""not nearly enough."" Grunwald then lays out the intricacies (and inanities) of the more recent and ongoing CERP, the hugely expensive Comprehensive Everglades Restoration Plan."
Survey-guided development I: Data-based organizational change,"Business & Money,Management & Leadership,Processes & Infrastructure",
Secret remedies,,"It is not, however, only the poorer classes of the community who have a weakness for secret remedies and the ministration of quacks; the well-to-do and the highly-placed will often, when not very ill, take a curious pleasure in experimenting with mysterious compounds. In them it is perhaps to be traced to a hankering to break safely with orthodoxy; they scrupulously obey the law and the Church and Mrs. Grundy, but will have their ﬂing against medicine. Usually, however, people of these classes take to some system. It used to be electricity or hypnotism or some eccentricity of diet; nowadays it is more often Christian Science.

Judging from the relative number of secret remedies advertised for different complaints, it would seem that the most attractive fields for exploitation by the patent medicine man are afforded by those diseases which are widely prevalent, and sufficiently serious to cause considerable suffering and incapacity, inasmuch as such disorders lend themselves to sensational descriptions of the dire consequences which will follow if the one and only real and certain cure is not purchased."
The anonymisation decision-making framework,,
Virtual Cities,Computer Games Design,
Mind Over Mood: Change How You Feel By Changing the Way You Think,"Social Work,Abnormal Psychology,Cognition & Cognitive Psychology","Developed by two master clinicians with extensive experience in cognitive therapy treatment and training, this popular workbook shows readers how to improve their lives using cognitive therapy. The book is designed to be used alone or in conjunction with professional treatment. Step-by-step worksheets teach specific skills that have helped hundreds of thousands people conquer depression, panic attacks, anxiety, anger, guilt, shame, low self-esteem, eating disorders, substance abuse and relationship problems. Readers learn to use mood questionnaires to identify, rate, and track changes in feelings; change the thoughts that contribute to problems; follow step-by-step strategies to improve moods; and take action to improve daily living and relationships. The book's large-size format facilitates reading and writing ease.


Association for Behavioral and Cognitive Therapies (ABCT) Self-Help Book of Merit"
There's a Stat for That!,"Business Education,Education Methods,Science","Bruce Frey's There's a Stat for That! is a brief, straightforward, and to-the-point guide to deciding which statistical analysis to use and when to use it. Designed for consultants, researchers, students, and those who already have the resources to tell them how to perform the analyses, this text explains why a particular statistical approach is the right one to use. The book affirms that regardless of the group design, once the variables are chosen and the measurement strategy is worked out, one can rest assured that there is a stat for that!"
XML Schemas,"Computers & Technology,Software,Web Development & Design",
Introductory Digital Signal Processing with Computer Applications,Science,"Digital signal processing continues to be of importance in fields as diverse as communications, radar, seismology, sonar, biomedicine, data analysis and aerospace. Some of the main problems of digital signal processing are identified in this book and interpreting the results of signal processing are detailed. Principles, applications and design methods are illustrated using a range of computer programs which have been translated into C for this edition. The accompanying disk provides a graphic display of the results of processing example signals and allows the reader to experiment with the programs."
MongoDB: The Definitive Guide: Powerful and Scalable Data Storage,Computers,"This introductory text shows the advantages of using document-oriented databases and demonstrates how MongoDB is a reliable, high-performance system that allows for horizontal scalability. This updated second edition provides guidance for database developers, advanced configuration for system administrators, and an overview of the concepts and use cases for other people on a project."
"The Secret World of Weather: How to Read Signs in Every Cloud, Breeze, Hill, Street, Plant, Animal, and Dewdrop","Natural History,Weather,Walking, Hiking, Trekking","In The Tristan Gooley Weather Book, bestselling author Tristan Gooley turns his gaze up to the sky, bringing his signature brand of close observation and eye-opening deduction to the fascinating world of weather. Every cloud, every change in temperature, every raindrop, every sunbeam, every breeze reveals something about our weather—if you know what to look for. Before you know it, you’ll be able to forecast impending storms, sunny days, and everything in between, all without needing to consult your smartphone.

But The Tristan Gooley Weather Book goes far beyond mere weather prediction, changing the very way we think about weather itself. Weather is not something that blankets an area; rather, it is something that changes constantly as you walk through woods or turn down a street. The weather is never identical on two sides of a tree—or even beneath it. Take, for example, Gooley’s remarkable discovery that breezes accelerate beneath a tree. To Gooley, this is “weather,” a tiny microclimate that explains why people sit beneath a tree to cool down—not only for the shade but, subconsciously, for cooler breeze. And so Gooley shows us not only what the weather will be like five days from now, but also what to expect about the weather around every corner.

By carefully observing the subtle interplay of wind, cloud, fog, temperature, rain and many other phenomena, we not only form a deeper understanding of weather patterns, but we also unlock secrets about our environment. Weath..."
Birmingham buildings;: The architectural story of a Midland city,Architecture,
Mathematics of Life,Biology,"A new partnership of biologists and mathematicians is picking apart the hidden complexity of animals and plants to throw fresh light on the behaviour of entire organisms, how they interact and how changes in biological diversity affect the planet's ecological balance. Mathematics offers new and sometimes startling perspectives on evolution and how patterns of inheritance and population work out over time-scales ranging from millions to hundreds of years - as well as what's going on to change us right now.Ian Stewart, in characteristically clear and entertaining fashion, explores these and a whole range of pertinent issues, including how far genes control behaviour and the nature of life itself. He shows how far mathematicians and biologists are succeeding in tackling some of the most difficult scientific problems the human race has ever confronted and where their research is currently taking us."
Building Ontologies with Basic Formal Ontology,"Technology,Bioinformatics,Science","An introduction to the field of applied ontology with examples derived particularly from biomedicine, covering theoretical components, design practices, and practical applications.In the era of “big data,” science is increasingly information driven, and the potential for computers to store, manage, and integrate massive amounts of data has given rise to such new disciplinary fields as biomedical informatics. Applied ontology offers a strategy for the organization of scientific information in computer-tractable form, drawing on concepts not only from computer and information science but also from linguistics, logic, and philosophy. This book provides an introduction to the field of applied ontology that is of particular relevance to biomedicine, covering theoretical components of ontologies, best practices for ontology design, and examples of biomedical ontologies in use.

After defining an ontology as a representation of the types of entities in a given domain, the book distinguishes between different kinds of ontologies and taxonomies, and shows how applied ontology draws on more traditional ideas from metaphysics. It presents the core features of the Basic Formal Ontology (BFO), now used by over one hundred ontology projects around the world, and offers examples of domain ontologies that utilize BFO. The book also describes Web Ontology Language (OWL), a common framework for Semantic Web technologies. Throughout, the book provides concrete recommendations for the design ..."
Visual Explanations,"Industrial / Commercial Art & Design,Media Studies,Social Research & Statistics","Few would disagree: Life in the information age can be overwhelming. Through computers, the Internet, the media, and even our daily newspapers, we are awash in a seemingly endless stream of charts, maps, infographics, diagrams, and data. Visual Explanations is a navigational guide through this turbulent sea of information. The book is an essential reference for anyone involved in graphic, web, or multimedia design, as well as for educators and lecturers who use graphics in presentations or classes.

Jacket design: Dmitry Krasny.
Other artwork by Bonnie Scranton, Dmitry Krasny, and Weilin Wu."
Advanced Course in Database Systems : Beyond Relational Databases,Computers,"This text goes beyond the relational coverage of a typical first course in databases. Dietrich and Urban include object-oriented conceptual data modeling, object oriented databases, and databases and the Web. Topic coverage is in-depth and accessible to undergraduates as well as graduate CS students. Teachers can select the topics that best fit their course."
National CAMHS Dataset: Supporting the Information Needs of Todays CAMH Services,Child mental health services,
Basic Guitar Workout,"Music,Musical Scores, Lyrics & Libretti,String Instruments",A condensed schedule of tips and advice to maintain or improve your playing standard in a minimum of time.
